Edmonds Karp,Dinic 
3741,2878
2573,1822
3698,1993
1626,1685
1640,1318
1820,1332
1561,1311
1659,1320
1724,1255
1618,1367
1651,1250
1690,1344
1565,1381
1568,1277
1596,1262
1620,1377
1646,1403
1616,1337
1647,1266
1610,1425
1735,1356
1789,1318
1622,1399
1632,1418
1719,1381
1660,1240
1578,1376
1722,1345
1752,1367
1719,1507
1627,1367
1588,1264
1703,1385
1657,1439
1682,1332
1635,1296
1643,1388
1652,1405
1574,1320
1712,1357
1666,1403
1658,1479
1715,1306
1619,1393
1618,1413
1606,1360
1645,1339
1641,1409
1609,1326
1687,1288
1592,1378
1591,1356
1635,1257
1675,1354
1710,1392
1661,1325
1701,1320
1644,1366
1573,1312
1735,1327
1590,1377
1589,1310
1628,1282
1629,1440
1627,1373
1638,1365
1691,1263
1552,1383
1592,1292
1715,1260
1617,1374
1585,1241
1719,1296
1624,1313
1643,1398
1807,1357
1697,1255
1674,1292
1610,1346
1674,1247
1566,1375
1663,1287
2225,1338
1636,1293
2521,1387
1646,1968
1918,1508
1743,1480
2577,1334
2541,1263
1643,1798
1681,1448
1627,1318
1736,1689
1666,1364
1624,1315
1720,1352
1759,1408
1641,1348
1705,1303
