Edmonds Karp,Dinic 
2258,903
1303,851
1120,836
1075,882
1107,846
1088,873
1111,853
1082,848
1064,828
1060,906
1074,877
1063,843
1101,861
1077,825
1062,874
1104,855
1165,910
1191,909
1230,849
1117,846
1120,889
1120,860
1217,832
1130,867
1119,860
1172,830
1108,845
1107,905
1126,933
1151,889
1123,878
1238,829
1169,861
1172,840
1126,852
1183,837
1107,843
1101,890
1171,909
1203,851
1163,832
1202,825
1152,851
1136,861
1154,884
1205,857
1190,865
1133,910
1138,835
1106,901
1136,919
1168,850
1126,842
1133,860
1179,837
1134,846
1169,880
1167,835
1118,840
1108,912
1199,869
1217,829
1185,860
1109,837
1159,858
1139,885
1140,855
1222,879
1136,845
1131,879
1133,846
1113,843
1128,847
1120,881
1129,842
1195,833
1129,843
1117,894
1124,883
1174,848
1107,882
1135,852
1123,873
1120,898
1104,896
1126,843
1111,836
1128,941
1214,825
1151,850
1119,855
1212,837
1119,845
1117,901
1110,847
1138,879
1114,882
1131,834
1141,889
1145,869
