Edmonds Karp,Dinic 
2346,1274
1537,1171
1468,1233
1625,1249
1475,1186
2296,1459
1656,1408
1649,1586
1899,1162
1582,1450
1623,1156
1428,1146
1535,1179
1406,1170
1577,1206
1521,1159
1498,1179
1502,1185
1484,1195
1540,1209
1491,1192
1519,1195
1466,1181
1486,1211
1505,1163
1421,1130
1420,1131
1424,1128
1445,1181
1464,1175
1435,1218
1478,1191
1480,1186
1486,1236
1500,1151
1489,1184
1462,1160
1462,1162
1488,1207
1463,1131
1444,1158
1418,1153
1420,1169
1500,1215
1499,1191
1472,1164
1471,1152
1423,1183
1452,1200
1510,1166
1421,1131
1419,1132
1474,1149
1525,1225
1511,1507
1522,1203
1495,1149
1513,1274
1567,1229
1527,1211
1503,1230
1503,1158
1537,1252
1533,1209
1467,1194
1429,1142
1422,1126
1466,1172
1482,1177
1454,1133
1420,1136
1420,1137
1505,1185
1470,1125
1408,1145
1416,1212
1511,1180
1517,1212
1536,1179
1475,1179
1491,1196
2153,1648
2230,1551
2015,1377
1476,1155
1442,1298
1802,1287
1423,1177
1610,1139
1425,1137
1554,1203
1594,1146
1427,1182
1505,1205
1457,1258
1635,1221
1464,1375
1457,1184
1439,1145
1527,1219
