Edmonds Karp,Dinic 
2014,895
1159,835
1179,838
1208,924
1548,842
1152,839
1072,782
1083,784
1100,832
1125,793
1122,798
1156,787
1062,782
1073,827
1088,793
1247,835
1238,824
1228,996
1249,832
1249,819
1218,779
1417,1036
1421,869
1260,796
1161,844
1149,821
1139,822
1197,832
1152,843
1174,823
1148,820
1176,790
1112,805
1149,835
1231,851
1243,811
1205,813
1124,786
1124,818
1118,797
1151,856
1238,834
1211,793
1127,794
1117,795
1121,845
1205,791
1227,841
1231,812
1141,829
1168,803
1123,797
1109,822
1194,808
1213,835
1145,809
1169,808
1143,820
1123,791
1141,792
1252,813
1127,807
1186,790
1155,799
1116,790
1142,806
1195,814
1229,878
1141,826
1167,807
1111,795
1149,979
1206,858
1207,843
1125,788
1430,881
1244,833
1110,864
1357,869
1220,819
1190,785
1144,795
1093,791
1136,822
1396,818
1232,841
1177,794
1127,782
1073,786
1100,831
1105,829
1177,820
1180,829
1179,835
1153,808
1216,815
1106,785
1090,795
1124,842
1201,830
