Edmonds Karp,Dinic 
6310,3644
5771,3500
5418,3784
5218,3784
5086,3393
5135,3588
5187,3400
5231,3361
5230,3491
5208,3456
5177,3606
5063,3382
5216,3458
5202,3381
5319,3448
5235,3326
5382,3511
5203,3563
5172,3324
5126,3302
5275,3377
5322,3411
5297,3330
5301,3529
5288,3314
5349,3495
5226,3487
5205,3400
5262,3316
5183,3383
5134,3417
5212,3355
5309,3375
5222,3396
5264,3382
5231,3374
5277,3330
5235,3372
5174,3376
5189,3383
5232,3435
5253,3395
5174,3668
5483,3488
5645,3684
5394,3477
5165,3472
5593,3742
5330,3541
5359,3401
5279,3431
5369,3486
5274,3377
5543,3906
5874,3383
5251,3538
5633,3486
5415,3575
5234,3418
5435,3491
5248,3391
5337,3349
5320,3401
5395,3458
5122,3409
5244,3414
5178,3646
5933,4316
5140,3417
5310,3304
5217,3303
5462,3841
5114,3329
5368,3629
5104,3418
6616,3365
5462,3513
5311,3352
5237,3361
5211,3370
5332,3490
5245,3454
5187,3415
5194,3537
5283,3420
5237,3367
5156,3534
5210,3416
5211,3389
5391,3362
5336,3351
6977,3601
5305,3624
5232,3368
5206,3416
5213,3476
5211,3466
5258,3355
5098,3367
5150,3597
